season,batter,matches_played,avg_runs_last_5,avg_sr_last_5,career_avg_runs,runs
2009/10,A Symonds,14,33.0,124.17354981657043,37.0,35
2009/10,A Symonds,15,35.2,121.3402164832371,36.86666666666667,22
2009/10,A Symonds,16,33.0,119.244978387999,35.9375,1
2009/10,A Symonds,17,32.2,110.99101013403074,33.88235294117647,45
2009/10,A Symonds,18,31.2,112.32880277617122,34.5,21
2009/10,A Symonds,19,24.8,106.5393290919607,33.78947368421053,15
2009/10,A Symonds,20,20.8,92.37266242529402,32.85,53
2009/10,A Symonds,21,27.0,105.43932909196069,33.80952380952381,27
2009/10,A Symonds,22,32.2,124.18218623481785,33.5,19
2009/10,A Symonds,23,27.0,119.20050125313287,32.869565217391305,4
2009/10,A Symonds,24,23.6,108.52380952380955,31.666666666666668,54
2009/10,A Symonds,25,31.4,129.52380952380955,32.56,23
2009/10,A Symonds,26,25.4,107.12380952380954,32.19230769230769,2
2011,A Symonds,27,20.4,90.52380952380955,31.074074074074073,16
2011,A Symonds,28,19.8,93.76190476190479,30.535714285714285,31
2011,A Symonds,29,25.2,103.71264367816093,30.551724137931036,44
2011,A Symonds,30,23.2,94.3793103448276,31.0,17
2011,A Symonds,31,22.0,86.9719029374202,30.548387096774192,4
2011,A Symonds,32,22.4,95.30523627075351,29.71875,3
2011,A Symonds,33,19.8,93.9719029374202,28.90909090909091,4
2011,A Symonds,34,14.4,92.59259259259261,28.176470588235293,8
2011,A Symonds,35,7.2,88.7830687830688,27.6,8
2009,AA Bilakhia,5,12.2,86.3809523809524,12.2,6
2009/10,AA Bilakhia,6,11.0,84.23809523809526,11.166666666666666,2
2009/10,AA Jhunjhunwala,5,25.6,122.8145840645841,25.6,2
2009/10,AA Jhunjhunwala,6,23.2,104.0267052767053,21.666666666666668,7
2009/10,AA Jhunjhunwala,7,14.0,116.94337194337197,19.571428571428573,11
2009/10,AA Jhunjhunwala,8,15.2,130.1576576576577,18.5,22
2009/10,AA Jhunjhunwala,9,10.6,124.96376811594205,18.88888888888889,13
2011,AA Jhunjhunwala,10,11.0,100.11528326745722,18.3,10
2011,AA Jhunjhunwala,11,12.6,105.94861660079054,17.545454545454547,0
2012,AA Jhunjhunwala,12,11.2,70.94861660079054,16.083333333333332,4
2012,AA Jhunjhunwala,13,9.8,56.78194993412389,15.153846153846153,1
2012,AA Jhunjhunwala,14,5.6,57.651515151515184,14.142857142857142,19
2007/08,AB Agarkar,5,9.8,88.25396825396828,9.8,5
