player,venue,venue_runs_avg,venue_strike_rate_avg
AJ Finch,Arun Jaitley Stadium,2.0,50.0
AJ Finch,"Brabourne Stadium, Mumbai",32.5,173.5714285714286
AJ Finch,Dr DY Patil Sports Academy,25.0,208.3333333333333
AJ Finch,Dubai International Cricket Stadium,27.666666666666668,112.35885056010844
AJ Finch,Eden Gardens,23.2,164.5079365079365
AJ Finch,Feroz Shah Kotla,15.333333333333334,80.36079782790308
AJ Finch,Green Park,24.25,89.15830546265329
AJ Finch,Holkar Cricket Stadium,30.0,141.52173913043478
AJ Finch,JSCA International Stadium Complex,27.5,191.66666666666663
AJ Finch,M Chinnaswamy Stadium,28.166666666666668,127.979302832244
AJ Finch,M.Chinnaswamy Stadium,0.0,0.0
AJ Finch,"MA Chidambaram Stadium, Chepauk",67.0,148.88888888888889
AJ Finch,Maharashtra Cricket Association Stadium,11.0,135.47008547008545
AJ Finch,"Maharashtra Cricket Association Stadium, Pune",14.0,100.0
AJ Finch,Punjab Cricket Association IS Bindra Stadium,7.0,116.66666666666664
AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali",38.0,128.72340425531917
AJ Finch,"Punjab Cricket Association Stadium, Mohali",64.0,152.38095238095238
AJ Finch,Rajiv Gandhi International Stadium,8.0,200.0
AJ Finch,"Rajiv Gandhi International Stadium, Uppal",23.0,86.31961484496047
AJ Finch,"Sardar Patel Stadium, Motera",9.5,80.71428571428572
AJ Finch,Saurashtra Cricket Association Stadium,17.0,106.46747076023392
AJ Finch,Sawai Mansingh Stadium,28.0,109.59821428571428
AJ Finch,Shaheed Veer Narayan Singh International Stadium,37.0,112.12121212121212
AJ Finch,Sharjah Cricket Stadium,32.5,117.9075504075504
AJ Finch,Sheikh Zayed Stadium,14.5,84.28571428571429
AJ Finch,Subrata Roy Sahara Stadium,26.833333333333332,131.41143678740795
AJ Finch,Wankhede Stadium,30.25,78.16137566137566
AJ Finch,"Wankhede Stadium, Mumbai",3.5,49.99999999999999
AK Markram,"Arun Jaitley Stadium, Delhi",4.5,47.43589743589743
AK Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",36.857142857142854,129.2238052000361
AK Markram,"Brabourne Stadium, Mumbai",55.0,178.44444444444446
AK Markram,"Dr DY Patil Sports Academy, Mumbai",21.666666666666668,131.38651471984807
AK Markram,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",15.0,115.38461538461536
AK Markram,Dubai International Cricket Stadium,19.0,135.0
AK Markram,"Eden Gardens, Kolkata",38.333333333333336,166.2087912087912
AK Markram,"Himachal Pradesh Cricket Association Stadium, Dharamsala",13.0,130.0
AK Markram,"M Chinnaswamy Stadium, Bengaluru",32.0,200.0
AK Markram,"MA Chidambaram Stadium, Chepauk, Chennai",16.25,91.23913043478261
AK Markram,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0.0,0.0
AK Markram,"Maharashtra Cricket Association Stadium, Pune",35.333333333333336,145.67479674796746
AK Markram,"Narendra Modi Stadium, Ahmedabad",21.0,113.1578947368421
AK Markram,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",24.9,109.94911297852475
AK Markram,"Sawai Mansingh Stadium, Jaipur",36.0,133.33333333333331
AK Markram,Sharjah Cricket Stadium,23.5,113.61607142857143
AK Markram,"Wankhede Stadium, Mumbai",20.333333333333332,109.80660951249187
AK Markram,"Zayed Cricket Stadium, Abu Dhabi",42.0,144.82758620689654
AL Menaria,Eden Gardens,11.0,70.09803921568627
AL Menaria,Feroz Shah Kotla,1.0,50.0
AL Menaria,Holkar Cricket Stadium,31.0,110.71428571428572
AL Menaria,"MA Chidambaram Stadium, Chepauk",19.0,65.44117647058823
AL Menaria,"Punjab Cricket Association Stadium, Mohali",34.0,128.34757834757835
AL Menaria,"Rajiv Gandhi International Stadium, Uppal",20.0,117.64705882352942
AL Menaria,Sawai Mansingh Stadium,15.25,100.86580086580086
AL Menaria,Subrata Roy Sahara Stadium,18.0,85.71428571428571
AL Menaria,Wankhede Stadium,20.0,133.33333333333331
AM Nayar,Buffalo Park,14.0,70.60439560439562
AM Nayar,Dr DY Patil Sports Academy,18.166666666666668,100.20750090409534
AM Nayar,Dubai International Cricket Stadium,5.0,71.42857142857143
AM Nayar,Eden Gardens,0.0,0.0
AM Nayar,Feroz Shah Kotla,9.0,82.05128205128204
AM Nayar,Himachal Pradesh Cricket Association Stadium,3.0,42.85714285714285
AM Nayar,Kingsmead,20.0,153.7037037037037
AM Nayar,M Chinnaswamy Stadium,4.0,73.41269841269842
AM Nayar,"MA Chidambaram Stadium, Chepauk",22.5,118.42105263157892
AM Nayar,Maharashtra Cricket Association Stadium,0.0,0.0
AM Nayar,New Wanderers Stadium,29.0,152.63157894736844
AM Nayar,Newlands,35.0,250.0
AM Nayar,"Punjab Cricket Association Stadium, Mohali",2.8,62.5
AM Nayar,"Rajiv Gandhi International Stadium, Uppal",23.333333333333332,141.34920634920636
AM Nayar,Sawai Mansingh Stadium,17.5,119.44444444444444
AM Nayar,Sharjah Cricket Stadium,23.0,121.05263157894736
AM Nayar,Sheikh Zayed Stadium,7.5,99.01960784313724
AM Nayar,St George's Park,18.0,111.11111111111111
AM Nayar,Subrata Roy Sahara Stadium,12.6,68.75457875457876
AM Nayar,SuperSport Park,2.5,62.5
AM Nayar,Wankhede Stadium,16.75,133.53174603174602
AM Rahane,Arun Jaitley Stadium,2.0,50.0
AM Rahane,"Arun Jaitley Stadium, Delhi",20.5,186.60714285714283
AM Rahane,"Barsapara Cricket Stadium, Guwahati",18.0,120.0
AM Rahane,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",36.0,150.0
AM Rahane,Brabourne Stadium,45.333333333333336,159.347442680776
AM Rahane,"Brabourne Stadium, Mumbai",8.0,57.14285714285714
AM Rahane,Buffalo Park,11.0,125.97402597402598
AM Rahane,Dr DY Patil Sports Academy,0.0,0.0
AM Rahane,"Dr DY Patil Sports Academy, Mumbai",17.0,97.08333333333334
AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,30.75,88.51190476190476
AM Rahane,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",45.0,150.0
AM Rahane,Dubai International Cricket Stadium,9.0,66.81286549707602
AM Rahane,Eden Gardens,16.0,92.3405439411537
AM Rahane,"Eden Gardens, Kolkata",50.57142857142857,164.26323383815836
AM Rahane,Feroz Shah Kotla,36.0,101.68040293040293
AM Rahane,"Himachal Pradesh Cricket Association Stadium, Dharamsala",9.0,128.57142857142858
AM Rahane,Holkar Cricket Stadium,10.666666666666666,95.66137566137566
