player,match_id,date,team,opponent,venue,city,season,runs,balls_faced,boundaries,got_out,innings,strike_rate,batting_first,target_runs,target_balls_faced,target_strike_rate,next_opponent,next_venue,runs_last_3,runs_last_5,runs_last_10,balls_faced_last_3,balls_faced_last_5,balls_faced_last_10,strike_rate_last_3,strike_rate_last_5,strike_rate_last_10,boundaries_last_3,boundaries_last_5,boundaries_last_10,career_runs,career_matches,career_avg_runs,career_total_balls,career_strike_rate,career_boundaries,career_boundary_percentage,career_dismissals,venue_runs_avg,venue_strike_rate_avg,venue_matches_played,venue_familiar,vs_opponent_runs_avg,vs_opponent_strike_rate_avg,vs_opponent_matches,is_home_match,days_since_last_match,season_matches,form_indicator,performance_trend,runs_std_last_10,consistency_score,boundary_dependency,momentum_score,experience_level
PP Shaw,1426285,2024-04-29,Delhi Capitals,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2024,13,7,3,1,1,185.7142857142857,1,0.0,0.0,0.0,unknown,unknown,11.333333333333334,26.4,25.7,6.0,16.0,16.9,197.93650793650795,180.85281385281388,154.99143059669376,2.333333333333333,4.8,4.3,1879.0,78,24.08974358974359,1272.0,147.72012578616352,296.0,23.270440251572328,76.0,0.0,0.0,0.0,0,26.375,112.8924492904756,8.0,0,5.0,7,5.836419019576914,4.086666666666666,21.756480516031168,0.0602311537842789,0.7943556443556444,27.889333333333333,experienced
WP Saha,1426290,2024-05-04,Gujarat Titans,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2024,1,7,0,1,1,14.285714285714285,1,0.0,0.0,0.0,unknown,unknown,19.0,14.0,20.7,13.333333333333334,12.6,16.3,133.0606060606061,100.75944055944056,119.7262511997806,2.6666666666666665,2.0,3.0,2933.0,142,20.654929577464788,2289.0,128.13455657492355,383.0,16.73219746614242,120.0,10.0,125.0,1.0,0,24.75,91.4129634667392,8.0,0,6.0,8,-3.1146671497047422,-3.6533333333333315,15.713051899615175,0.210877993186245,0.34461538461538466,16.837333333333333,veteran
RD Chahar,1426296,2024-05-09,Punjab Kings,Royal Challengers Bengaluru,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,2024,5,5,1,0,2,100.0,0,0.0,0.0,0.0,unknown,unknown,5.333333333333333,8.6,9.3,6.333333333333333,9.0,8.5,53.333333333333336,72.83333333333334,87.13095238095238,1.0,1.2,1.4,124.0,21,5.904761904761905,119.0,104.20168067226892,17.0,14.285714285714285,16.0,0.0,0.0,0.0,0,5.0,71.42857142857143,2.0,0,4.0,1,2.425734925549167,0.15999999999999986,9.47569991551489,0.0,0.406,7.828,intermediate
PP Chawla,1426298,2024-05-11,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2024,1,2,0,0,2,50.0,0,0.0,0.0,0.0,unknown,unknown,3.6666666666666665,2.8,3.9,2.0,2.6,3.7,116.66666666666669,80.0,73.33333333333334,0.6666666666666666,0.4,0.4,623.0,85,7.329411764705882,559.0,111.4490161001789,76.0,13.595706618962431,57.0,0.0,0.0,0.0,0,9.6,90.66666666666669,5.0,0,8.0,5,-4.142710750542422,-2.2133333333333334,5.877452206904314,0.0,0.16,3.013333333333333,experienced
DA Warner,1426300,2024-05-12,Delhi Capitals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2024,1,2,0,1,2,50.0,0,0.0,0.0,0.0,unknown,unknown,6.333333333333333,17.8,35.3,6.666666666666667,13.4,23.8,82.40740740740739,107.7249874308698,131.75007811515695,1.0,2.8,5.7,6566.0,183,35.87978142076503,4678.0,140.359127832407,899.0,19.2176143651133,163.0,28.8,138.71120107962216,5.0,1,24.2,63.39080459770115,5.0,0,22.0,7,-1.004962377325586,-9.78,26.671041307838824,0.2406047335762979,0.39333333333333337,30.436,veteran
I Sharma,1426300,2024-05-12,Delhi Capitals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2024,0,4,0,0,2,0.0,0,0.0,0.0,0.0,unknown,unknown,4.0,3.6,2.4,2.333333333333333,2.8,2.4,155.55555555555557,147.33333333333334,112.66666666666669,0.6666666666666666,0.6,0.3,57.0,20,2.85,65.0,87.6923076923077,6.0,9.230769230769232,7.0,0.0,0.0,0.0,0,3.5,145.0,2.0,0,39.0,1,0.19000343997248023,1.2733333333333334,2.951459149490488,0.013499397090531402,0.16,3.270666666666666,rookie
RR Rossouw,1426307,2024-05-19,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2024,49,23,7,1,1,213.0434782608696,1,0.0,0.0,0.0,unknown,unknown,27.666666666666668,30.4,24.9,14.333333333333334,16.4,13.5,131.71889838556504,148.92264337916512,122.8139600422209,5.666666666666667,5.4,4.2,424.0,21,20.19047619047619,283.0,149.8233215547703,63.0,22.261484098939928,20.0,0.0,0.0,0.0,0,14.0,60.86956521739131,1.0,0,4.0,7,3.7376598358641706,0.5466666666666669,28.598562512437194,0.0,0.5837135034237588,23.961333333333336,intermediate
C Green,1426310,2024-05-22,Royal Challengers Bengaluru,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024,27,21,3,1,1,128.57142857142858,1,0.0,0.0,0.0,unknown,unknown,38.66666666666666,30.8,21.0,22.666666666666668,18.0,13.5,175.74437182280317,152.44662309368192,131.27093059446,5.0,4.0,2.8,680.0,27,25.185185185185187,436.0,155.96330275229357,91.0,20.871559633027523,19.0,21.5,122.3559386350084,6.0,1,82.0,191.11111111111111,2.0,0,4.0,11,-3.6911507494116194,3.673333333333332,17.587874611030575,0.11448956122783108,0.3945525044495296,22.806666666666665,intermediate
MK Lomror,1426310,2024-05-22,Royal Challengers Bengaluru,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024,32,17,4,1,1,188.23529411764704,1,0.0,0.0,0.0,unknown,unknown,4.333333333333333,4.8,9.4,3.6666666666666665,3.6,5.4,54.16666666666666,94.16666666666666,114.32400932400932,0.3333333333333333,0.6,1.4,495.0,34,14.558823529411764,355.0,139.43661971830986,59.0,16.619718309859156,29.0,0.0,0.0,0.0,0,19.666666666666668,122.65512265512264,3.0,0,4.0,9,-5.8806087919038585,-4.373333333333333,11.0070684360349,0.0,0.27582417582417584,8.197333333333333,intermediate
KD Karthik,1426310,2024-05-22,Royal Challengers Bengaluru,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2024,11,13,1,1,1,84.61538461538461,1,0.0,0.0,0.0,unknown,unknown,10.666666666666666,12.8,24.9,4.666666666666667,6.4,12.4,177.77777777777774,178.33333333333331,179.81331953071083,1.6666666666666667,2.0,3.8,4832.0,232,20.82758620689655,3557.0,135.8448130447006,626.0,17.599100365476524,188.0,0.0,0.0,0.0,0,17.91304347826087,113.90294479837809,23.0,0,4.0,12,5.729243968651654,-7.360000000000001,24.99088722803664,0.0837869268924563,0.4346320346320346,23.323999999999998,veteran
