career_avg,recent_3_avg,recent_5_avg,recent_10_avg,strike_rate,boundary_ratio,consistency_score,momentum,venue_adjusted_runs,pvt_avg,experience_log,target_next_runs
12.666666666666666,12.666666666666666,12.666666666666666,12.666666666666666,160.0,0.2727272727272727,3.123676704221918,0.0,0.7606093579978237,16.0,1.3862943611198906,8.0
71.0,71.0,71.0,71.0,154.34782608695653,0.23404255319148937,0.0,0.0,3.3752040261153424,28.0,0.6931471805599453,49.0
13.5,13.5,13.5,13.5,133.33333333333331,0.2,4.3250927537300505,0.0,0.5704570184983677,12.0,1.0986122886681098,24.0
16.0,16.0,16.0,16.0,212.5,0.29411764705882354,0.9571534078375097,0.0,1.6162948857453754,25.5,1.3862943611198906,4.0
4.0,4.0,4.0,4.0,133.33333333333331,0.0,0.0,0.0,0.19015233949945592,4.0,0.6931471805599453,1.0
22.0,22.0,22.0,22.0,33.33333333333333,0.0,1.1270342160934121,0.0,0.04753808487486398,16.0,1.3862943611198906,33.0
34.0,34.0,34.0,34.0,120.0,0.12903225806451613,0.9986658035255407,0.0,1.7113710554951034,20.689655172413794,1.3862943611198906,76.0
18.0,18.0,18.0,18.0,244.44444444444446,0.4,2.703979886802027,0.0,1.0458378672470077,11.0,1.0986122886681098,7.0
33.666666666666664,33.666666666666664,33.666666666666664,33.666666666666664,66.66666666666666,0.0,0.8714212516138939,0.0,0.19015233949945592,29.363636363636363,1.3862943611198906,61.0
6.0,6.0,6.0,6.0,250.0,0.4,0.901326628934009,0.0,0.4753808487486398,5.5,1.0986122886681098,13.0
6.0,6.0,6.0,6.0,100.0,0.17647058823529413,0.6174238309665078,0.0,0.7606093579978237,10.666666666666666,1.3862943611198906,37.0
26.0,26.0,26.0,26.0,210.3448275862069,0.3333333333333333,0.8293994859626771,0.0,2.8998231773667027,29.9,1.3862943611198906,21.0
1.5,1.5,1.5,1.5,20.0,0.0,0.8786796564403575,0.0,0.09471264367816092,1.2,1.0986122886681098,0.0
22.333333333333332,22.333333333333332,22.333333333333332,22.333333333333332,66.66666666666666,0.0,0.9884300960477074,0.0,0.09471264367816092,15.666666666666666,1.3862943611198906,34.0
8.0,8.0,8.0,8.0,177.77777777777777,0.3,0.6496824251328982,0.0,0.7577011494252873,7.25,1.0986122886681098,1.0
23.5,23.5,23.5,23.5,104.54545454545455,0.17391304347826086,13.765981284232266,0.0,1.0891954022988506,16.153846153846153,1.0986122886681098,34.0
7.0,7.0,7.0,7.0,171.42857142857142,0.125,0.8672954016950679,0.0,0.5682758620689655,26.1,1.0986122886681098,15.0
2.0,2.0,2.0,2.0,11.76470588235294,0.0,0.0,0.0,0.09471264367816092,3.75,0.6931471805599453,7.0
10.0,10.0,10.0,10.0,0.0,0.0,0.6016666399923173,0.0,0.0,11.333333333333334,1.3862943611198906,4.0
7.0,7.0,7.0,7.0,200.0,0.0,1.253901493234544,0.0,0.28413793103448276,8.090909090909092,1.3862943611198906,10.0
22.666666666666668,22.666666666666668,22.666666666666668,22.666666666666668,85.71428571428571,0.09090909090909091,4.389930120967225,0.0,0.8524137931034482,16.666666666666668,1.3862943611198906,1.0
56.0,56.0,56.0,56.0,162.06896551724137,0.23728813559322035,1.4721145352842004,0.0,4.451494252873563,37.375,1.3862943611198906,4.0
7.0,7.0,7.0,7.0,122.22222222222223,0.2,1.253901493234544,0.0,0.5209195402298851,11.0,1.3862943611198906,13.0
12.0,12.0,12.0,12.0,0.0,0.0,0.6677587211906819,0.0,0.0,6.555555555555555,1.0986122886681098,21.0
7.0,7.0,7.0,7.0,77.77777777777779,0.0,0.0,0.0,0.3314942528735632,7.0,0.6931471805599453,15.0
37.333333333333336,37.333333333333336,37.333333333333336,37.333333333333336,110.5263157894737,0.15,2.4298741122927567,0.0,0.9944827586206896,24.903225806451612,1.3862943611198906,6.0
2.0,2.0,2.0,2.0,0.0,0.0,0.5224077499274828,0.0,0.0,17.0,1.0986122886681098,25.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6931471805599453,0.0
22.333333333333332,22.333333333333332,22.333333333333332,22.333333333333332,104.76190476190477,0.13636363636363635,3.4319003030473727,0.0,1.0418390804597701,11.0,1.3862943611198906,31.0
17.0,17.0,17.0,17.0,170.0,0.2727272727272727,0.0,0.0,0.8050574712643678,13.545454545454545,0.6931471805599453,9.0
16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,14.285714285714285,0.0,1.0897148438465338,0.0,0.04735632183908046,6.25,1.3862943611198906,18.0
32.666666666666664,32.666666666666664,32.666666666666664,32.666666666666664,200.0,0.2,1.470076969490511,0.0,0.8524137931034482,14.421052631578947,1.3862943611198906,40.0
60.0,60.0,60.0,60.0,116.66666666666667,0.18604651162790697,3.623987349237522,0.0,2.277572879300763,36.5,1.0986122886681098,2.0
14.666666666666666,14.666666666666666,14.666666666666666,14.666666666666666,110.00000000000001,0.18181818181818182,1.4559260489287236,0.0,0.5112918708634366,20.583333333333332,1.3862943611198906,14.0
33.5,33.5,33.5,33.5,209.52380952380955,0.4090909090909091,2.11366569733365,0.0,2.0451674834537465,17.0,1.0986122886681098,53.0
13.0,14.333333333333334,13.0,13.0,66.66666666666666,0.14285714285714285,0.8571982694203175,1.333333333333334,0.1859243166776133,4.0,1.6094379124341003,21.0
1.0,1.0,1.0,1.0,0.0,0.0,0.4142135623730951,0.0,0.0,2.0,1.0986122886681098,1.0
16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,40.0,0.0,0.8170209903464454,0.0,0.1859243166776133,5.0,1.3862943611198906,4.0
26.0,26.0,26.0,26.0,113.33333333333333,0.16129032258064516,2.1114678816819192,0.0,1.5803566917597132,11.571428571428571,1.0986122886681098,6.0
11.333333333333334,11.333333333333334,11.333333333333334,11.333333333333334,0.0,0.0,0.5988306742025079,0.0,0.0,29.2,1.3862943611198906,0.0
1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.046481079169403326,8.428571428571429,0.6931471805599453,23.0
40.5,47.0,40.5,40.5,141.86046511627907,0.22727272727272727,1.1694946100750612,6.5,2.835345829333603,20.533333333333335,1.6094379124341003,0.0
12.333333333333334,12.333333333333334,12.333333333333334,12.333333333333334,81.25,0.058823529411764705,1.026482605260863,0.0,0.6042540292022432,28.0,1.3862943611198906,12.0
24.75,29.666666666666668,24.75,24.75,175.0,0.38461538461538464,0.9554206953054621,4.916666666666668,0.9761026625574698,16.857142857142858,1.6094379124341003,55.0
10.0,10.0,10.0,10.0,94.44444444444444,0.10526315789473684,0.9174737048053263,0.0,0.7901783458798566,6.0,1.0986122886681098,8.0
11.0,11.0,11.0,11.0,122.22222222222223,0.1,0.0,0.0,0.5147224991691591,7.666666666666667,0.6931471805599453,2.0
62.333333333333336,62.333333333333336,62.333333333333336,62.333333333333336,200.0,0.3076923076923077,0.7386109645032529,0.0,1.1230309072781655,28.75,1.3862943611198906,1.0
16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0.0,0.0,0.8159906869993189,0.0,0.0,10.25,1.3862943611198906,17.0
4.0,4.0,4.0,4.0,133.33333333333331,0.0,0.0,0.0,0.18717181787969425,3.6666666666666665,0.6931471805599453,1.0
23.0,23.0,23.0,23.0,120.0,0.1388888888888889,0.8252584282344556,0.0,1.9653040877367896,13.11111111111111,1.0986122886681098,40.0
3.0,3.0,3.0,3.0,100.0,0.0,0.0,0.0,0.14037886340977068,7.25,0.6931471805599453,10.0
58.666666666666664,58.666666666666664,58.666666666666664,58.666666666666664,140.0,0.17647058823529413,1.9128098816372832,0.0,3.2755068128946494,23.666666666666668,1.3862943611198906,13.0
25.0,25.0,25.0,25.0,159.25925925925927,0.17857142857142858,1.1388314406253974,0.0,2.012097042206713,19.133333333333333,1.3862943611198906,65.0
11.333333333333334,11.333333333333334,11.333333333333334,11.333333333333334,66.66666666666666,0.04,1.6950232330279695,0.0,0.748687271518777,11.0,1.3862943611198906,2.0
16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,70.0,0.0967741935483871,3.4824236215002284,0.0,0.9826520438683948,21.125,1.3862943611198906,21.0
6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0.0,0.0,0.5313352838182628,0.0,0.0,3.0,1.3862943611198906,19.0
12.0,12.0,12.0,12.0,57.14285714285714,0.045454545454545456,4.0,0.0,0.5615154536390827,11.285714285714286,1.3862943611198906,4.0
18.5,18.5,18.5,18.5,168.75,0.35294117647058826,1.4208019699175554,0.0,1.2634097706879361,21.4,1.0986122886681098,1.0
38.25,43.333333333333336,38.25,38.25,218.00000000000003,0.37254901960784315,0.7874075664040842,5.083333333333336,6.0582056892779,28.625,1.6094379124341003,6.0
25.25,27.0,25.25,25.25,170.0,0.19047619047619047,1.2901127853073926,1.75,1.889715536105033,13.555555555555555,1.6094379124341003,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.24,0.6931471805599453,4.0
27.0,27.0,27.0,27.0,188.88888888888889,0.21052631578947367,3.812071897723665,0.0,1.889715536105033,16.9375,1.3862943611198906,64.0
29.5,23.333333333333332,29.5,29.5,120.0,0.16666666666666666,1.4341004733718257,-6.166666666666668,0.33347921225382937,22.82758620689655,1.6094379124341003,37.0
24.5,23.333333333333332,24.5,24.5,100.0,0.125,3.381643446335809,-1.1666666666666679,1.7229759299781184,31.0,1.6094379124341003,33.0
17.0,13.0,17.0,17.0,78.26086956521739,0.08333333333333333,1.3395898013992782,-4.0,1.000437636761488,15.0,1.6094379124341003,18.0
